generation,status,fitness,games,wins,draws,port_wins,port_losses,dominance_cap_penalty,matchup_floor_penalty,matchup_recovery_bonus,port_loss_pressure_penalty,survival_infra_bonus,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
23,kept,-34153,170,49,0,11,56,0,6816,0,4480,3844,0.000000,0.288235,11.076471,40.858824,56.929412,0.594118,0.541176,0.264706,0.205882,0.494118,0.447059,0.723529,0.705882,8.241176,0.570588,0.958824,1.269622,4.303826,2.654613,0.191959,0.036770,0.499818,0.535150,0.784393,0.561417,0.466762,0.778175,0.143218,0.664313,0.124493,guard_captain|shipyard|trade_guild|fishing_boat
24,kept,-34153,170,49,0,11,56,0,6816,0,4480,3844,0.000000,0.288235,11.076471,40.858824,56.929412,0.594118,0.541176,0.264706,0.205882,0.494118,0.447059,0.723529,0.705882,8.241176,0.570588,0.958824,1.269622,4.303826,2.654613,0.191959,0.036770,0.499818,0.535150,0.784393,0.561417,0.466762,0.778175,0.143218,0.664313,0.124493,guard_captain|shipyard|trade_guild|fishing_boat
25,kept,-34153,170,49,0,11,56,0,6816,0,4480,3844,0.000000,0.288235,11.076471,40.858824,56.929412,0.594118,0.541176,0.264706,0.205882,0.494118,0.447059,0.723529,0.705882,8.241176,0.570588,0.958824,1.269622,4.303826,2.654613,0.191959,0.036770,0.499818,0.535150,0.784393,0.561417,0.466762,0.778175,0.143218,0.664313,0.124493,guard_captain|shipyard|trade_guild|fishing_boat
26,kept,-34153,170,49,0,11,56,0,6816,0,4480,3844,0.000000,0.288235,11.076471,40.858824,56.929412,0.594118,0.541176,0.264706,0.205882,0.494118,0.447059,0.723529,0.705882,8.241176,0.570588,0.958824,1.269622,4.303826,2.654613,0.191959,0.036770,0.499818,0.535150,0.784393,0.561417,0.466762,0.778175,0.143218,0.664313,0.124493,guard_captain|shipyard|trade_guild|fishing_boat
27,learned,-29634,170,57,0,10,43,1242,8042,0,3440,3864,0.000000,0.335294,11.311765,46.064706,56.570588,0.400000,0.382353,0.417647,0.382353,0.411765,0.370588,0.817647,0.782353,9.441176,0.517647,0.929412,1.241845,4.405865,2.872917,0.105578,0.020224,0.654368,0.294333,0.881416,0.308780,0.706719,0.753584,0.078770,0.649364,0.433700,guard_captain|shipyard|trade_guild|fishing_boat
28,kept,-29634,170,57,0,10,43,1242,8042,0,3440,3864,0.000000,0.335294,11.311765,46.064706,56.570588,0.400000,0.382353,0.417647,0.382353,0.411765,0.370588,0.817647,0.782353,9.441176,0.517647,0.929412,1.241845,4.405865,2.872917,0.105578,0.020224,0.654368,0.294333,0.881416,0.308780,0.706719,0.753584,0.078770,0.649364,0.433700,guard_captain|shipyard|trade_guild|fishing_boat
29,kept,-29634,170,57,0,10,43,1242,8042,0,3440,3864,0.000000,0.335294,11.311765,46.064706,56.570588,0.400000,0.382353,0.417647,0.382353,0.411765,0.370588,0.817647,0.782353,9.441176,0.517647,0.929412,1.241845,4.405865,2.872917,0.105578,0.020224,0.654368,0.294333,0.881416,0.308780,0.706719,0.753584,0.078770,0.649364,0.433700,guard_captain|shipyard|trade_guild|fishing_boat
30,kept,-29634,170,57,0,10,43,1242,8042,0,3440,3864,0.000000,0.335294,11.311765,46.064706,56.570588,0.400000,0.382353,0.417647,0.382353,0.411765,0.370588,0.817647,0.782353,9.441176,0.517647,0.929412,1.241845,4.405865,2.872917,0.105578,0.020224,0.654368,0.294333,0.881416,0.308780,0.706719,0.753584,0.078770,0.649364,0.433700,guard_captain|shipyard|trade_guild|fishing_boat
31,learned,-25536,170,66,0,12,56,1505,6642,0,4480,3840,0.000000,0.388235,11.017647,63.400000,48.835294,0.394118,0.376471,0.352941,0.317647,0.382353,0.329412,0.876471,0.847059,16.482353,0.641176,1.088235,1.440647,4.340191,2.596267,0.058068,0.013847,0.809902,0.481436,0.934779,0.169829,0.838696,0.800565,0.236608,0.455906,0.238535,guard_captain|trade_guild|fishing_boat
32,kept,-25536,170,66,0,12,56,1505,6642,0,4480,3840,0.000000,0.388235,11.017647,63.400000,48.835294,0.394118,0.376471,0.352941,0.317647,0.382353,0.329412,0.876471,0.847059,16.482353,0.641176,1.088235,1.440647,4.340191,2.596267,0.058068,0.013847,0.809902,0.481436,0.934779,0.169829,0.838696,0.800565,0.236608,0.455906,0.238535,guard_captain|trade_guild|fishing_boat
33,kept,-25536,170,66,0,12,56,1505,6642,0,4480,3840,0.000000,0.388235,11.017647,63.400000,48.835294,0.394118,0.376471,0.352941,0.317647,0.382353,0.329412,0.876471,0.847059,16.482353,0.641176,1.088235,1.440647,4.340191,2.596267,0.058068,0.013847,0.809902,0.481436,0.934779,0.169829,0.838696,0.800565,0.236608,0.455906,0.238535,guard_captain|trade_guild|fishing_boat
