generation,status,fitness,games,wins,draws,port_wins,port_losses,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
24,kept,-146293,1600,649,3,196,581,0.405625,10.671250,50.775000,44.449375,0.171875,0.143125,0.126250,0.096875,0.025000,0.023125,0.663125,0.641875,14.555000,0.834375,2.250625,1.742959,3.550271,2.264134,1.291336,0.077451,0.536167,0.135807,0.072159,0.025148,0.223852,0.917807,0.502691,0.883940,0.258749,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
25,kept,-146293,1600,649,3,196,581,0.405625,10.671250,50.775000,44.449375,0.171875,0.143125,0.126250,0.096875,0.025000,0.023125,0.663125,0.641875,14.555000,0.834375,2.250625,1.742959,3.550271,2.264134,1.291336,0.077451,0.536167,0.135807,0.072159,0.025148,0.223852,0.917807,0.502691,0.883940,0.258749,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
26,kept,-146293,1600,649,3,196,581,0.405625,10.671250,50.775000,44.449375,0.171875,0.143125,0.126250,0.096875,0.025000,0.023125,0.663125,0.641875,14.555000,0.834375,2.250625,1.742959,3.550271,2.264134,1.291336,0.077451,0.536167,0.135807,0.072159,0.025148,0.223852,0.917807,0.502691,0.883940,0.258749,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
27,kept,-146293,1600,649,3,196,581,0.405625,10.671250,50.775000,44.449375,0.171875,0.143125,0.126250,0.096875,0.025000,0.023125,0.663125,0.641875,14.555000,0.834375,2.250625,1.742959,3.550271,2.264134,1.291336,0.077451,0.536167,0.135807,0.072159,0.025148,0.223852,0.917807,0.502691,0.883940,0.258749,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
28,kept,-146293,1600,649,3,196,581,0.405625,10.671250,50.775000,44.449375,0.171875,0.143125,0.126250,0.096875,0.025000,0.023125,0.663125,0.641875,14.555000,0.834375,2.250625,1.742959,3.550271,2.264134,1.291336,0.077451,0.536167,0.135807,0.072159,0.025148,0.223852,0.917807,0.502691,0.883940,0.258749,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
29,kept,-146293,1600,649,3,196,581,0.405625,10.671250,50.775000,44.449375,0.171875,0.143125,0.126250,0.096875,0.025000,0.023125,0.663125,0.641875,14.555000,0.834375,2.250625,1.742959,3.550271,2.264134,1.291336,0.077451,0.536167,0.135807,0.072159,0.025148,0.223852,0.917807,0.502691,0.883940,0.258749,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
30,kept,-146293,1600,649,3,196,581,0.405625,10.671250,50.775000,44.449375,0.171875,0.143125,0.126250,0.096875,0.025000,0.023125,0.663125,0.641875,14.555000,0.834375,2.250625,1.742959,3.550271,2.264134,1.291336,0.077451,0.536167,0.135807,0.072159,0.025148,0.223852,0.917807,0.502691,0.883940,0.258749,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
31,kept,-146293,1600,649,3,196,581,0.405625,10.671250,50.775000,44.449375,0.171875,0.143125,0.126250,0.096875,0.025000,0.023125,0.663125,0.641875,14.555000,0.834375,2.250625,1.742959,3.550271,2.264134,1.291336,0.077451,0.536167,0.135807,0.072159,0.025148,0.223852,0.917807,0.502691,0.883940,0.258749,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
32,kept,-146293,1600,649,3,196,581,0.405625,10.671250,50.775000,44.449375,0.171875,0.143125,0.126250,0.096875,0.025000,0.023125,0.663125,0.641875,14.555000,0.834375,2.250625,1.742959,3.550271,2.264134,1.291336,0.077451,0.536167,0.135807,0.072159,0.025148,0.223852,0.917807,0.502691,0.883940,0.258749,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
33,kept,-146293,1600,649,3,196,581,0.405625,10.671250,50.775000,44.449375,0.171875,0.143125,0.126250,0.096875,0.025000,0.023125,0.663125,0.641875,14.555000,0.834375,2.250625,1.742959,3.550271,2.264134,1.291336,0.077451,0.536167,0.135807,0.072159,0.025148,0.223852,0.917807,0.502691,0.883940,0.258749,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
34,kept,-146293,1600,649,3,196,581,0.405625,10.671250,50.775000,44.449375,0.171875,0.143125,0.126250,0.096875,0.025000,0.023125,0.663125,0.641875,14.555000,0.834375,2.250625,1.742959,3.550271,2.264134,1.291336,0.077451,0.536167,0.135807,0.072159,0.025148,0.223852,0.917807,0.502691,0.883940,0.258749,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
35,learned,-123275,1600,681,4,181,538,0.425625,10.750625,56.405625,41.706875,0.118125,0.095625,0.091250,0.068125,0.010000,0.009375,0.626250,0.610000,18.078750,0.831250,2.302500,1.544423,3.725249,2.495219,1.348486,0.050343,0.486282,0.088275,0.053483,0.016346,0.204952,0.946575,0.511365,0.914315,0.273503,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
36,learned,-111052,1600,695,5,322,550,0.434375,10.547500,38.301875,36.501250,0.080625,0.068750,0.061250,0.054375,0.070625,0.061250,0.475625,0.465625,7.550000,0.744375,1.635625,1.679166,3.668619,2.634809,1.428055,0.032723,0.666083,0.057379,0.034764,0.069496,0.133219,0.770623,0.351233,0.944304,0.345288,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
37,learned,-105307,1600,704,2,416,558,0.440000,10.381875,29.298750,38.353125,0.113750,0.107500,0.046250,0.038125,0.085625,0.073125,0.348125,0.341875,2.759375,0.638750,1.189375,1.609987,3.782706,2.710196,1.455429,0.114482,0.538145,0.071922,0.028487,0.062016,0.086592,0.573456,0.248518,0.963798,0.354399,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
38,kept,-105307,1600,704,2,416,558,0.440000,10.381875,29.298750,38.353125,0.113750,0.107500,0.046250,0.038125,0.085625,0.073125,0.348125,0.341875,2.759375,0.638750,1.189375,1.609987,3.782706,2.710196,1.455429,0.114482,0.538145,0.071922,0.028487,0.062016,0.086592,0.573456,0.248518,0.963798,0.354399,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
39,kept,-105307,1600,704,2,416,558,0.440000,10.381875,29.298750,38.353125,0.113750,0.107500,0.046250,0.038125,0.085625,0.073125,0.348125,0.341875,2.759375,0.638750,1.189375,1.609987,3.782706,2.710196,1.455429,0.114482,0.538145,0.071922,0.028487,0.062016,0.086592,0.573456,0.248518,0.963798,0.354399,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
40,learned,-96436,1600,712,4,385,514,0.445000,10.580625,31.938750,41.045625,0.079375,0.071250,0.239375,0.211250,0.056875,0.049375,0.255000,0.250000,3.296875,0.509375,0.768125,1.721316,3.634112,2.484193,1.595129,0.093464,0.571345,0.046749,0.153944,0.040311,0.056285,0.663051,0.161537,0.754323,0.536734,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
41,kept,-96436,1600,712,4,385,514,0.445000,10.580625,31.938750,41.045625,0.079375,0.071250,0.239375,0.211250,0.056875,0.049375,0.255000,0.250000,3.296875,0.509375,0.768125,1.721316,3.634112,2.484193,1.595129,0.093464,0.571345,0.046749,0.153944,0.040311,0.056285,0.663051,0.161537,0.754323,0.536734,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
42,kept,-96436,1600,712,4,385,514,0.445000,10.580625,31.938750,41.045625,0.079375,0.071250,0.239375,0.211250,0.056875,0.049375,0.255000,0.250000,3.296875,0.509375,0.768125,1.721316,3.634112,2.484193,1.595129,0.093464,0.571345,0.046749,0.153944,0.040311,0.056285,0.663051,0.161537,0.754323,0.536734,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
43,kept,-96436,1600,712,4,385,514,0.445000,10.580625,31.938750,41.045625,0.079375,0.071250,0.239375,0.211250,0.056875,0.049375,0.255000,0.250000,3.296875,0.509375,0.768125,1.721316,3.634112,2.484193,1.595129,0.093464,0.571345,0.046749,0.153944,0.040311,0.056285,0.663051,0.161537,0.754323,0.536734,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
