generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,build_priority
183,kept,73826,500,456,0,436,0.912000,8.674000,53.078000,6.186000,1.278089,2.836806,1.898447,3.294163,0.245573,0.826599,
184,kept,73826,500,456,0,436,0.912000,8.674000,53.078000,6.186000,1.278089,2.836806,1.898447,3.294163,0.245573,0.826599,
185,learned,71326,500,446,0,427,0.892000,8.854000,51.962000,7.000000,1.320391,2.830330,1.849630,3.244595,0.233295,0.813059,
186,kept,71326,500,446,0,427,0.892000,8.854000,51.962000,7.000000,1.320391,2.830330,1.849630,3.244595,0.233295,0.813059,
187,learned,68962,500,439,0,424,0.878000,8.892000,50.230000,7.946000,1.312204,2.805286,1.835992,3.197277,0.221972,0.791636,
188,kept,68962,500,439,0,424,0.878000,8.892000,50.230000,7.946000,1.312204,2.805286,1.835992,3.197277,0.221972,0.791636,
189,kept,68962,500,439,0,424,0.878000,8.892000,50.230000,7.946000,1.312204,2.805286,1.835992,3.197277,0.221972,0.791636,
190,learned,68739,500,436,0,416,0.872000,8.958000,51.394000,8.476000,1.308891,2.845609,1.828288,3.230345,0.252604,0.802055,
191,kept,68739,500,436,0,416,0.872000,8.958000,51.394000,8.476000,1.308891,2.845609,1.828288,3.230345,0.252604,0.802055,
192,kept,68739,500,436,0,416,0.872000,8.958000,51.394000,8.476000,1.308891,2.845609,1.828288,3.230345,0.252604,0.802055,
193,kept,68739,500,436,0,416,0.872000,8.958000,51.394000,8.476000,1.308891,2.845609,1.828288,3.230345,0.252604,0.802055,
194,kept,68739,500,436,0,416,0.872000,8.958000,51.394000,8.476000,1.308891,2.845609,1.828288,3.230345,0.252604,0.802055,
195,kept,68739,500,436,0,416,0.872000,8.958000,51.394000,8.476000,1.308891,2.845609,1.828288,3.230345,0.252604,0.802055,
196,kept,68739,500,436,0,416,0.872000,8.958000,51.394000,8.476000,1.308891,2.845609,1.828288,3.230345,0.252604,0.802055,
197,kept,68739,500,436,0,416,0.872000,8.958000,51.394000,8.476000,1.308891,2.845609,1.828288,3.230345,0.252604,0.802055,
198,kept,68739,500,436,0,416,0.872000,8.958000,51.394000,8.476000,1.308891,2.845609,1.828288,3.230345,0.252604,0.802055,
