generation,status,fitness,games,wins,draws,port_wins,port_losses,dominance_cap_penalty,matchup_floor_penalty,matchup_recovery_bonus,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
41,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
42,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
43,learned,-42474,170,45,0,20,77,19,10671,0,0.000000,0.264706,10.535294,29.076471,70.511765,0.664706,0.658824,0.317647,0.276471,0.270588,0.223529,0.282353,0.282353,0.352941,0.470588,0.688235,2.182179,3.876435,2.278361,0.467700,0.272831,0.317090,0.990253,0.731419,0.189493,0.057864,0.256273,0.164679,0.520213,0.314113,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
44,learned,-41637,170,46,0,20,76,0,10496,0,0.000000,0.270588,10.511765,25.870588,71.658824,0.641176,0.635294,0.282353,0.229412,0.211765,0.170588,0.294118,0.288235,0.276471,0.500000,0.682353,2.223876,3.823818,2.317798,0.603626,0.192873,0.241378,0.884284,0.644728,0.128855,0.077496,0.265565,0.169398,0.386537,0.213597,fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
45,kept,-41637,170,46,0,20,76,0,10496,0,0.000000,0.270588,10.511765,25.870588,71.658824,0.641176,0.635294,0.282353,0.229412,0.211765,0.170588,0.294118,0.288235,0.276471,0.500000,0.682353,2.223876,3.823818,2.317798,0.603626,0.192873,0.241378,0.884284,0.644728,0.128855,0.077496,0.265565,0.169398,0.386537,0.213597,fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
46,kept,-41637,170,46,0,20,76,0,10496,0,0.000000,0.270588,10.511765,25.870588,71.658824,0.641176,0.635294,0.282353,0.229412,0.211765,0.170588,0.294118,0.288235,0.276471,0.500000,0.682353,2.223876,3.823818,2.317798,0.603626,0.192873,0.241378,0.884284,0.644728,0.128855,0.077496,0.265565,0.169398,0.386537,0.213597,fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
47,kept,-41637,170,46,0,20,76,0,10496,0,0.000000,0.270588,10.511765,25.870588,71.658824,0.641176,0.635294,0.282353,0.229412,0.211765,0.170588,0.294118,0.288235,0.276471,0.500000,0.682353,2.223876,3.823818,2.317798,0.603626,0.192873,0.241378,0.884284,0.644728,0.128855,0.077496,0.265565,0.169398,0.386537,0.213597,fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
48,kept,-41637,170,46,0,20,76,0,10496,0,0.000000,0.270588,10.511765,25.870588,71.658824,0.641176,0.635294,0.282353,0.229412,0.211765,0.170588,0.294118,0.288235,0.276471,0.500000,0.682353,2.223876,3.823818,2.317798,0.603626,0.192873,0.241378,0.884284,0.644728,0.128855,0.077496,0.265565,0.169398,0.386537,0.213597,fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
49,kept,-41637,170,46,0,20,76,0,10496,0,0.000000,0.270588,10.511765,25.870588,71.658824,0.641176,0.635294,0.282353,0.229412,0.211765,0.170588,0.294118,0.288235,0.276471,0.500000,0.682353,2.223876,3.823818,2.317798,0.603626,0.192873,0.241378,0.884284,0.644728,0.128855,0.077496,0.265565,0.169398,0.386537,0.213597,fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
50,kept,-41637,170,46,0,20,76,0,10496,0,0.000000,0.270588,10.511765,25.870588,71.658824,0.641176,0.635294,0.282353,0.229412,0.211765,0.170588,0.294118,0.288235,0.276471,0.500000,0.682353,2.223876,3.823818,2.317798,0.603626,0.192873,0.241378,0.884284,0.644728,0.128855,0.077496,0.265565,0.169398,0.386537,0.213597,fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
51,kept,-41637,170,46,0,20,76,0,10496,0,0.000000,0.270588,10.511765,25.870588,71.658824,0.641176,0.635294,0.282353,0.229412,0.211765,0.170588,0.294118,0.288235,0.276471,0.500000,0.682353,2.223876,3.823818,2.317798,0.603626,0.192873,0.241378,0.884284,0.644728,0.128855,0.077496,0.265565,0.169398,0.386537,0.213597,fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
52,learned,-39889,170,45,0,21,58,0,10319,0,0.000000,0.264706,11.029412,30.482353,69.964706,0.429412,0.400000,0.635294,0.576471,0.105882,0.070588,0.241176,0.241176,0.694118,0.458824,0.635294,2.355756,3.722847,2.358781,0.623677,0.205132,0.290296,0.795148,0.758415,0.087622,0.052698,0.364896,0.170083,0.314585,0.145246,fort|fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
53,kept,-39889,170,45,0,21,58,0,10319,0,0.000000,0.264706,11.029412,30.482353,69.964706,0.429412,0.400000,0.635294,0.576471,0.105882,0.070588,0.241176,0.241176,0.694118,0.458824,0.635294,2.355756,3.722847,2.358781,0.623677,0.205132,0.290296,0.795148,0.758415,0.087622,0.052698,0.364896,0.170083,0.314585,0.145246,fort|fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
54,kept,-39889,170,45,0,21,58,0,10319,0,0.000000,0.264706,11.029412,30.482353,69.964706,0.429412,0.400000,0.635294,0.576471,0.105882,0.070588,0.241176,0.241176,0.694118,0.458824,0.635294,2.355756,3.722847,2.358781,0.623677,0.205132,0.290296,0.795148,0.758415,0.087622,0.052698,0.364896,0.170083,0.314585,0.145246,fort|fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
55,kept,-39889,170,45,0,21,58,0,10319,0,0.000000,0.264706,11.029412,30.482353,69.964706,0.429412,0.400000,0.635294,0.576471,0.105882,0.070588,0.241176,0.241176,0.694118,0.458824,0.635294,2.355756,3.722847,2.358781,0.623677,0.205132,0.290296,0.795148,0.758415,0.087622,0.052698,0.364896,0.170083,0.314585,0.145246,fort|fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
56,kept,-39889,170,45,0,21,58,0,10319,0,0.000000,0.264706,11.029412,30.482353,69.964706,0.429412,0.400000,0.635294,0.576471,0.105882,0.070588,0.241176,0.241176,0.694118,0.458824,0.635294,2.355756,3.722847,2.358781,0.623677,0.205132,0.290296,0.795148,0.758415,0.087622,0.052698,0.364896,0.170083,0.314585,0.145246,fort|fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
57,kept,-39889,170,45,0,21,58,0,10319,0,0.000000,0.264706,11.029412,30.482353,69.964706,0.429412,0.400000,0.635294,0.576471,0.105882,0.070588,0.241176,0.241176,0.694118,0.458824,0.635294,2.355756,3.722847,2.358781,0.623677,0.205132,0.290296,0.795148,0.758415,0.087622,0.052698,0.364896,0.170083,0.314585,0.145246,fort|fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
58,kept,-39889,170,45,0,21,58,0,10319,0,0.000000,0.264706,11.029412,30.482353,69.964706,0.429412,0.400000,0.635294,0.576471,0.105882,0.070588,0.241176,0.241176,0.694118,0.458824,0.635294,2.355756,3.722847,2.358781,0.623677,0.205132,0.290296,0.795148,0.758415,0.087622,0.052698,0.364896,0.170083,0.314585,0.145246,fort|fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
59,kept,-39889,170,45,0,21,58,0,10319,0,0.000000,0.264706,11.029412,30.482353,69.964706,0.429412,0.400000,0.635294,0.576471,0.105882,0.070588,0.241176,0.241176,0.694118,0.458824,0.635294,2.355756,3.722847,2.358781,0.623677,0.205132,0.290296,0.795148,0.758415,0.087622,0.052698,0.364896,0.170083,0.314585,0.145246,fort|fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
60,learned,-33347,170,51,1,23,51,0,8568,0,0.000000,0.300000,11.135294,30.394118,64.900000,0.517647,0.494118,0.582353,0.529412,0.147059,0.123529,0.158824,0.158824,0.194118,0.329412,0.464706,2.478058,3.733480,2.253521,0.722604,0.139490,0.431130,0.729442,0.648335,0.117704,0.035834,0.371626,0.115656,0.229503,0.098767,fort|fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
61,kept,-33347,170,51,1,23,51,0,8568,0,0.000000,0.300000,11.135294,30.394118,64.900000,0.517647,0.494118,0.582353,0.529412,0.147059,0.123529,0.158824,0.158824,0.194118,0.329412,0.464706,2.478058,3.733480,2.253521,0.722604,0.139490,0.431130,0.729442,0.648335,0.117704,0.035834,0.371626,0.115656,0.229503,0.098767,fort|fishing_boat|trade_guild|shipyard|fishing_dock|fire_plans|guard_captain
