generation,status,fitness,games,wins,draws,port_wins,port_losses,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
43,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
44,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
45,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
46,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
47,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
48,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
49,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
50,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
51,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
52,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
