generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
27,kept,165553,1400,532,0,99,0.380000,10.097857,155.239286,51.247857,0.214286,0.180714,0.157857,0.125000,0.147143,0.112857,0.959286,0.900714,57.860000,0.703571,2.335714,2.198595,4.190842,2.402660,1.637491,0.793309,0.722207,0.137978,0.068566,0.714059,0.811759,0.900099,0.709357,0.872138,0.919558,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
28,kept,165553,1400,532,0,99,0.380000,10.097857,155.239286,51.247857,0.214286,0.180714,0.157857,0.125000,0.147143,0.112857,0.959286,0.900714,57.860000,0.703571,2.335714,2.198595,4.190842,2.402660,1.637491,0.793309,0.722207,0.137978,0.068566,0.714059,0.811759,0.900099,0.709357,0.872138,0.919558,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
29,kept,165553,1400,532,0,99,0.380000,10.097857,155.239286,51.247857,0.214286,0.180714,0.157857,0.125000,0.147143,0.112857,0.959286,0.900714,57.860000,0.703571,2.335714,2.198595,4.190842,2.402660,1.637491,0.793309,0.722207,0.137978,0.068566,0.714059,0.811759,0.900099,0.709357,0.872138,0.919558,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
30,kept,165553,1400,532,0,99,0.380000,10.097857,155.239286,51.247857,0.214286,0.180714,0.157857,0.125000,0.147143,0.112857,0.959286,0.900714,57.860000,0.703571,2.335714,2.198595,4.190842,2.402660,1.637491,0.793309,0.722207,0.137978,0.068566,0.714059,0.811759,0.900099,0.709357,0.872138,0.919558,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
31,learned,169857,1400,503,0,77,0.359286,10.040000,165.260000,55.058571,0.158571,0.137857,0.102143,0.072857,0.097857,0.072143,0.966429,0.900714,64.881429,0.732143,2.384286,2.280365,4.089402,2.272319,1.587112,0.865651,0.612428,0.089686,0.044568,0.632341,0.877644,0.935064,0.811082,0.916890,0.947713,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
32,learned,181768,1400,555,0,45,0.396429,10.448571,168.492857,54.640714,0.117857,0.090000,0.316429,0.261429,0.053571,0.035714,0.971429,0.919286,67.120000,0.715714,2.377143,2.320178,4.074398,2.114864,1.362883,0.641178,0.699464,0.058296,0.204801,0.595277,0.920468,0.957792,0.672542,0.945978,0.948243,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
33,kept,181768,1400,555,0,45,0.396429,10.448571,168.492857,54.640714,0.117857,0.090000,0.316429,0.261429,0.053571,0.035714,0.971429,0.919286,67.120000,0.715714,2.377143,2.320178,4.074398,2.114864,1.362883,0.641178,0.699464,0.058296,0.204801,0.595277,0.920468,0.957792,0.672542,0.945978,0.948243,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
34,kept,181768,1400,555,0,45,0.396429,10.448571,168.492857,54.640714,0.117857,0.090000,0.316429,0.261429,0.053571,0.035714,0.971429,0.919286,67.120000,0.715714,2.377143,2.320178,4.074398,2.114864,1.362883,0.641178,0.699464,0.058296,0.204801,0.595277,0.920468,0.957792,0.672542,0.945978,0.948243,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
35,kept,181768,1400,555,0,45,0.396429,10.448571,168.492857,54.640714,0.117857,0.090000,0.316429,0.261429,0.053571,0.035714,0.971429,0.919286,67.120000,0.715714,2.377143,2.320178,4.074398,2.114864,1.362883,0.641178,0.699464,0.058296,0.204801,0.595277,0.920468,0.957792,0.672542,0.945978,0.948243,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
36,kept,181768,1400,555,0,45,0.396429,10.448571,168.492857,54.640714,0.117857,0.090000,0.316429,0.261429,0.053571,0.035714,0.971429,0.919286,67.120000,0.715714,2.377143,2.320178,4.074398,2.114864,1.362883,0.641178,0.699464,0.058296,0.204801,0.595277,0.920468,0.957792,0.672542,0.945978,0.948243,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
37,kept,181768,1400,555,0,45,0.396429,10.448571,168.492857,54.640714,0.117857,0.090000,0.316429,0.261429,0.053571,0.035714,0.971429,0.919286,67.120000,0.715714,2.377143,2.320178,4.074398,2.114864,1.362883,0.641178,0.699464,0.058296,0.204801,0.595277,0.920468,0.957792,0.672542,0.945978,0.948243,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
38,kept,181768,1400,555,0,45,0.396429,10.448571,168.492857,54.640714,0.117857,0.090000,0.316429,0.261429,0.053571,0.035714,0.971429,0.919286,67.120000,0.715714,2.377143,2.320178,4.074398,2.114864,1.362883,0.641178,0.699464,0.058296,0.204801,0.595277,0.920468,0.957792,0.672542,0.945978,0.948243,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
39,kept,181768,1400,555,0,45,0.396429,10.448571,168.492857,54.640714,0.117857,0.090000,0.316429,0.261429,0.053571,0.035714,0.971429,0.919286,67.120000,0.715714,2.377143,2.320178,4.074398,2.114864,1.362883,0.641178,0.699464,0.058296,0.204801,0.595277,0.920468,0.957792,0.672542,0.945978,0.948243,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
40,learned,182960,1400,585,3,40,0.417857,10.702143,159.962857,48.355714,0.282143,0.230000,0.317857,0.241429,0.040714,0.027857,0.981429,0.926429,63.356429,0.672143,2.056429,2.466058,4.159114,2.273904,1.427127,0.416766,0.736273,0.178151,0.198061,0.645350,0.948304,0.972565,0.519527,0.893206,0.722449,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
41,kept,182960,1400,585,3,40,0.417857,10.702143,159.962857,48.355714,0.282143,0.230000,0.317857,0.241429,0.040714,0.027857,0.981429,0.926429,63.356429,0.672143,2.056429,2.466058,4.159114,2.273904,1.427127,0.416766,0.736273,0.178151,0.198061,0.645350,0.948304,0.972565,0.519527,0.893206,0.722449,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
42,learned,191170,1400,543,1,39,0.387857,10.374286,176.206429,54.424286,0.326429,0.286429,0.245714,0.188571,0.023571,0.019286,0.949286,0.881429,72.446429,0.602143,1.569286,2.580183,4.041191,2.232837,1.407111,0.617778,0.828578,0.260567,0.128740,0.453089,0.820281,0.982167,0.381958,0.930584,0.819592,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
43,kept,191170,1400,543,1,39,0.387857,10.374286,176.206429,54.424286,0.326429,0.286429,0.245714,0.188571,0.023571,0.019286,0.949286,0.881429,72.446429,0.602143,1.569286,2.580183,4.041191,2.232837,1.407111,0.617778,0.828578,0.260567,0.128740,0.453089,0.820281,0.982167,0.381958,0.930584,0.819592,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
44,learned,224157,1400,574,0,52,0.410000,10.388571,195.021429,52.866429,0.287857,0.240714,0.296429,0.250000,0.025000,0.022857,0.905000,0.847857,78.622857,0.550000,1.167857,2.487036,3.965637,2.421458,1.639784,0.628973,0.623978,0.169368,0.176585,0.375922,0.665310,0.988409,0.276035,0.954880,0.602958,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
